req,Num
GET /,7
GET /1401420498jtun_irev140529019.7z,10
GET /accountInfo/charm_inc_ranks,18551
GET /accountInfo/charm_list,183
GET /accountInfo/find_users,299910
GET /accountInfo/get,3620
GET /accountInfo/get_role_list,72227
GET /accountManager/login,2
GET /accountinfo/find_users,10
GET /accountinfo/get_role_list,6
GET /accountmanager/login,1
GET /blacklist/get,3
GET /chatRoom/list,21575
GET /content/dovebox/list,104290
GET /content/view,165146
GET /cs/list,6237
GET /friend/get,9811
GET /friend/getOnlineFriends,1423
GET /friend/requests,91
GET /inner/manage/content/list,648
GET /inner/manage/user/get_users,18
GET /inner/manage/user/search_user,15
GET /music/list,135723
GET /notify/unread,640932
GET /online/charm,312
GET /orga/list,165
GET /present/account_presents,15072
GET /present/check_presents,1263
GET /present/list,18608
GET /present/logs,9881
GET /present/view,967
GET /user/money,7253
GET /user/profile,15023
GET /user/setting,4
GET /user/space,445583
GET http://api.nyx.l99.com/notify/unread,1804
HEAD /1401420498jtun_irev140529019.7z,6
HEAD /notify/unread,1
POST /accountInfo/save_info,12008
POST /accountInfo/update_user_favor,4
POST /accountManager/get_login_confirm,3
POST /accountManager/login,11846
POST /blacklist/manager,1
POST /content/dovebox/post,1948
POST /content/hotspot,29
POST /content/share/charm,1081
POST /cs/sendMessage,952
POST /cs/sendblock,63
POST /file/roi_upload,1
POST /file/upload,1415
POST /friend/add,68
POST /friend/handle,837
POST /inner/manage/content/block,90
POST /inner/manage/user/block,28
POST /inner/manage/user/change_avatar,25
POST /online/charm,47143869
POST /present/give,17188
POST /user/setting,14708
POST /user/uploadavatar,5218
POST http://api.nyx.l99.com/online/charm,1
